protein_accession,protein_description,control_1,control_2,control_3,treatment_1,treatment_2,treatment_3
MRT4_HUMAN_Q9UKD2,mRNA turnover protein 4 homolog OS=Homo sapiens GN=MRTO4 PE=1 SV=2,0.7082,0.1273,0.6327,0.5513,0.3615,0.4743
HGS_HUMAN_O14964,Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Homo sapiens GN=HGS PE=1 SV=1,3.121,1.0041,1.3589,0.872,0.8641,0.6721
PAWR_HUMAN_Q96IZ0,PRKC apoptosis WT1 regulator protein OS=Homo sapiens GN=PAWR PE=1 SV=1,0.3961,0.3536,0.5409,0.4611,0.4205,0.4284
ITA5_HUMAN_P08648,Integrin alpha-5 OS=Homo sapiens GN=ITGA5 PE=1 SV=2,0.8559,0.7674,0.8866,1.1788,1.1427,1.3445
RENT1_HUMAN_Q92900,Regulator of nonsense transcripts 1 OS=Homo sapiens GN=UPF1 PE=1 SV=2,0.4962,0.6263,0.8542,0.736,0.6796,0.5127
PAK2_HUMAN_Q13177,Serine/threonine-protein kinase PAK 2 OS=Homo sapiens GN=PAK2 PE=1 SV=3,1.8118,1.5006,1.9832,0.9147,1.1927,1.1057
PLST_HUMAN_P13797,Plastin-3 OS=Homo sapiens GN=PLS3 PE=1 SV=4,2.9184,2.6058,2.697,2.6195,2.3332,2.6532
SAMH1_HUMAN_Q9Y3Z3,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 OS=Homo sapiens GN=SAMHD1 PE=1 SV=2,2.8486,2.3979,2.4685,1.9903,2.369,1.5502
PRP6_HUMAN_O94906,Pre-mRNA-processing factor 6 OS=Homo sapiens GN=PRPF6 PE=1 SV=1,1.2439,0.7274,0.6803,0.6597,0.8155,0.8865
AKA12_HUMAN_Q02952,A-kinase anchor protein 12 OS=Homo sapiens GN=AKAP12 PE=1 SV=4,3.6405,0.9343,3.1296,3.943,2.9182,3.4763
SCFD1_HUMAN_Q8WVM8,Sec1 family domain-containing protein 1 OS=Homo sapiens GN=SCFD1 PE=1 SV=4,0.4719,0.7051,0.4348,1.1064,0.902,1.1453
RPAC1_HUMAN_O15160,DNA-directed RNA polymerases I and III subunit RPAC1 OS=Homo sapiens GN=POLR1C PE=1 SV=1,0.1221,0.1397,0.3899,0.1413,0.098,0.1244
NOLC1_HUMAN_Q14978,Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens GN=NOLC1 PE=1 SV=2,0.6366,1.097,0.7269,0.3262,0.3165,0.957
GNAI3_HUMAN_P08754,Guanine nucleotide-binding protein G(k) subunit alpha OS=Homo sapiens GN=GNAI3 PE=1 SV=3,0.4328,0.433,0.4246,0.4235,0.3965,0.4006
CBPD_HUMAN_O75976,Carboxypeptidase D OS=Homo sapiens GN=CPD PE=1 SV=2,0.4183,0.5829,0.4834,0.4967,0.3968,0.3905
SPTC1_HUMAN_O15269,Serine palmitoyltransferase 1 OS=Homo sapiens GN=SPTLC1 PE=1 SV=1,0.1868,0.1805,0.2061,0.1288,0.1559,0.1613
SPS1_HUMAN_P49903,Selenide_ water dikinase 1 OS=Homo sapiens GN=SEPHS1 PE=1 SV=2,0.3387,0.1553,0.2554,0.2218,0.2333,0.2455
SMD2_HUMAN_P62316,Small nuclear ribonucleoprotein Sm D2 OS=Homo sapiens GN=SNRPD2 PE=1 SV=1,0.356,0.3662,0.3169,0.3107,0.2896,0.2703
UBA6_HUMAN_A0AVT1,Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens GN=UBA6 PE=1 SV=1,1.9274,0.5993,0.8274,0.6011,0.6618,0.6442
SSRP1_HUMAN_Q08945,FACT complex subunit SSRP1 OS=Homo sapiens GN=SSRP1 PE=1 SV=1,0.7689,0.6827,0.7166,0.7042,0.6306,0.6044
ANXA7_HUMAN_P20073,Annexin A7 OS=Homo sapiens GN=ANXA7 PE=1 SV=3,0.6693,0.6869,0.6075,0.6543,0.5991,0.5069
GRDN_HUMAN_Q3V6T2,Girdin OS=Homo sapiens GN=CCDC88A PE=1 SV=2,1.9136,1.915,0.9256,1.0515,1.9533,1.1699
ZCCHV_HUMAN_Q7Z2W4,Zinc finger CCCH-type antiviral protein 1 OS=Homo sapiens GN=ZC3HAV1 PE=1 SV=3,1.0094,0.7551,0.9663,0.7163,0.7049,0.6665
DNMT1_HUMAN_P26358,DNA (cytosine-5)-methyltransferase 1 OS=Homo sapiens GN=DNMT1 PE=1 SV=2,0.9596,1.3042,1.6714,0.6224,0.7955,0.596
GRP78_HUMAN_P11021,78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2,9.9981,9.3997,9.4486,9.3297,9.3067,8.7327
TCPA_HUMAN_P17987,T-complex protein 1 subunit alpha OS=Homo sapiens GN=TCP1 PE=1 SV=1,1.7662,2.4724,3.9823,2.4535,2.1067,1.8894
CYFP1_HUMAN_Q7L576,Cytoplasmic FMR1-interacting protein 1 OS=Homo sapiens GN=CYFIP1 PE=1 SV=1,0.6928,0.594,1.1724,0.5141,0.5423,0.7051
ALDH2_HUMAN_P05091,Aldehyde dehydrogenase_ mitochondrial OS=Homo sapiens GN=ALDH2 PE=1 SV=2,0.1275,0.5877,0.1814,0.1409,0.1375,0.1141
TCP4_HUMAN_P53999,Activated RNA polymerase II transcriptional coactivator p15 OS=Homo sapiens GN=SUB1 PE=1 SV=3,0.4192,0.3992,0.4567,0.4828,0.4571,0.4151
SYVC_HUMAN_P26640,Valine--tRNA ligase OS=Homo sapiens GN=VARS PE=1 SV=4,2.9448,2.9353,1.7661,2.5541,2.3297,2.3597
ERP29_HUMAN_P30040,Endoplasmic reticulum resident protein 29 OS=Homo sapiens GN=ERP29 PE=1 SV=4,1.0462,1.0054,0.9597,0.7763,0.7406,0.6231
RT06_HUMAN_P82932,28S ribosomal protein S6_ mitochondrial OS=Homo sapiens GN=MRPS6 PE=1 SV=3,0.0816,0.0673,0.1235,0.0699,0.0762,0.0699
GRP75_HUMAN_P38646,Stress-70 protein_ mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2,5.8595,5.3515,6.0198,4.4813,4.1339,4.0783
CAN1_HUMAN_P07384,Calpain-1 catalytic subunit OS=Homo sapiens GN=CAPN1 PE=1 SV=1,0.5034,0.7124,0.396,0.3463,0.3716,0.3999
GMFB_HUMAN_P60983,Glia maturation factor beta OS=Homo sapiens GN=GMFB PE=1 SV=2,0.7445,0.8606,0.8756,1.1651,0.2533,0.8941
FKBP3_HUMAN_Q00688,Peptidyl-prolyl cis-trans isomerase FKBP3 OS=Homo sapiens GN=FKBP3 PE=1 SV=1,0.3935,0.43120000000000003,0.8705,0.3313,0.331,0.3335
SRPK1_HUMAN_Q96SB4,SRSF protein kinase 1 OS=Homo sapiens GN=SRPK1 PE=1 SV=2,0.7938,0.2375,0.6143,0.3231,0.243,0.3035
EIF3C_HUMAN_Q99613,Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens GN=EIF3C PE=1 SV=1,3.4473,2.9922,3.408,2.9232,2.8156,2.6049
HNRPR_HUMAN_O43390,Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens GN=HNRNPR PE=1 SV=1,1.7993,2.0978,3.4974,2.176,2.0531,2.3794
XPO5_HUMAN_Q9HAV4,Exportin-5 OS=Homo sapiens GN=XPO5 PE=1 SV=1,0.9008,0.8712,1.1322,0.9767,1.5252,0.9947
ARPC2_HUMAN_O15144,Actin-related protein 2/3 complex subunit 2 OS=Homo sapiens GN=ARPC2 PE=1 SV=1,0.4521,0.5213,0.4445,0.4612,0.4351,0.4252
MARCS_HUMAN_P29966,Myristoylated alanine-rich C-kinase substrate OS=Homo sapiens GN=MARCKS PE=1 SV=4,2.7149,2.2568,2.5776,2.3411,2.2156,2.1552
PTBP1_HUMAN_P26599,Polypyrimidine tract-binding protein 1 OS=Homo sapiens GN=PTBP1 PE=1 SV=1,0.6159,1.3872,1.1589,1.0053,1.016,0.935
TPD54_HUMAN_O43399,Tumor protein D54 OS=Homo sapiens GN=TPD52L2 PE=1 SV=2,0.9027,1.0149,0.6776,0.7286,0.7814,0.7812
COPD_HUMAN_P48444,Coatomer subunit delta OS=Homo sapiens GN=ARCN1 PE=1 SV=1,1.2828,0.9465,1.4355,0.9956,0.9228,0.9158
GNAI2_HUMAN_P04899,Guanine nucleotide-binding protein G(i) subunit alpha-2 OS=Homo sapiens GN=GNAI2 PE=1 SV=3,0.7302,0.6569,0.6407,0.5629,0.5003,0.4912
1C02_HUMAN_P30501,HLA class I histocompatibility antigen_ Cw-2 alpha chain OS=Homo sapiens GN=HLA-C PE=1 SV=1,2.13,0.1903,1.7434,0.2586,0.5128,0.5204
RL13_HUMAN_P26373,60S ribosomal protein L13 OS=Homo sapiens GN=RPL13 PE=1 SV=4,1.063,0.9648,1.1078,1.1094,0.9944,0.8306
NPL4_HUMAN_Q8TAT6,Nuclear protein localization protein 4 homolog OS=Homo sapiens GN=NPLOC4 PE=1 SV=3,0.2619,0.30620000000000003,0.1263,0.3367,0.2057,0.3148
ERH_HUMAN_P84090,Enhancer of rudimentary homolog OS=Homo sapiens GN=ERH PE=1 SV=1,0.3343,0.3222,0.3741,0.2817,0.2677,0.3639
HAT1_HUMAN_O14929,Histone acetyltransferase type B catalytic subunit OS=Homo sapiens GN=HAT1 PE=1 SV=1,0.5631,0.5614,0.4441,0.5416,0.5556,0.4539
PININ_HUMAN_Q9H307,Pinin OS=Homo sapiens GN=PNN PE=1 SV=4,0.4255,0.7074,2.1099,0.4056,0.3839,0.4342
NU107_HUMAN_P57740,Nuclear pore complex protein Nup107 OS=Homo sapiens GN=NUP107 PE=1 SV=1,0.3769,0.5174,0.5205,0.6281,0.5808,0.6101
SRRM1_HUMAN_Q8IYB3,Serine/arginine repetitive matrix protein 1 OS=Homo sapiens GN=SRRM1 PE=1 SV=2,1.0529,1.4587,1.1164,1.4798,1.2543,1.4961
DNPH1_HUMAN_O43598,2'-deoxynucleoside 5'-phosphate N-hydrolase 1 OS=Homo sapiens GN=DNPH1 PE=1 SV=1,0.1571,0.1561,0.0982,0.0954,0.1231,0.0918
ZFR_HUMAN_Q96KR1,Zinc finger RNA-binding protein OS=Homo sapiens GN=ZFR PE=1 SV=2,0.5087,0.4019,0.7109,0.343,0.2782,0.3145
GLRX5_HUMAN_Q86SX6,Glutaredoxin-related protein 5_ mitochondrial OS=Homo sapiens GN=GLRX5 PE=1 SV=2,0.0482,0.033,0.047,0.0485,0.0499,0.0317
NCBP1_HUMAN_Q09161,Nuclear cap-binding protein subunit 1 OS=Homo sapiens GN=NCBP1 PE=1 SV=1,0.4858,0.4967,0.2861,0.6425,0.4651,0.5112
SRP09_HUMAN_P49458,Signal recognition particle 9 kDa protein OS=Homo sapiens GN=SRP9 PE=1 SV=2,0.1307,0.1353,0.0834,0.1508,0.143,0.114
TBB2A_HUMAN_Q13885,Tubulin beta-2A chain OS=Homo sapiens GN=TUBB2A PE=1 SV=1,2.2027,2.0053,2.2932,1.7391,1.9257,1.7745
NH2L1_HUMAN_P55769,NHP2-like protein 1 OS=Homo sapiens GN=SNU13 PE=1 SV=3,0.3282,0.2205,0.2119,0.1811,0.2073,0.2006
E9PJD9_HUMAN_E9PJD9,60S ribosomal protein L27a OS=Homo sapiens GN=RPL27A PE=1 SV=1,0.7477,0.7176,0.8313,0.7793,0.7067,0.674
EFHD2_HUMAN_Q96C19,EF-hand domain-containing protein D2 OS=Homo sapiens GN=EFHD2 PE=1 SV=1,0.4219,0.3451,0.4516,0.3238,0.358,0.3203
ARP2_HUMAN_P61160,Actin-related protein 2 OS=Homo sapiens GN=ACTR2 PE=1 SV=1,1.0927,1.0692,1.1447,1.0002,0.9199,0.9823
EHD4_HUMAN_Q9H223,EH domain-containing protein 4 OS=Homo sapiens GN=EHD4 PE=1 SV=1,0.6878,0.6728,0.5642,0.4184,0.3923,0.2861
CASP3_HUMAN_P42574,Caspase-3 OS=Homo sapiens GN=CASP3 PE=1 SV=2,0.1469,0.1362,0.1424,0.1086,0.1094,0.2396
SFXN1_HUMAN_Q9H9B4,Sideroflexin-1 OS=Homo sapiens GN=SFXN1 PE=1 SV=4,0.3658,0.4496,0.4224,0.4392,0.4304,0.4716
MCM3_HUMAN_P25205,DNA replication licensing factor MCM3 OS=Homo sapiens GN=MCM3 PE=1 SV=3,1.9039,2.1025,1.9813,1.6041,1.3909,1.6467
RTN4_HUMAN_Q9NQC3,Reticulon-4 OS=Homo sapiens GN=RTN4 PE=1 SV=2,1.7596,2.3801,2.4852,3.3853,3.233,2.7749
AL1B1_HUMAN_P30837,Aldehyde dehydrogenase X_ mitochondrial OS=Homo sapiens GN=ALDH1B1 PE=1 SV=3,0.2127,0.3335,0.6077,0.4613,0.3004,0.4356
G3BP1_HUMAN_Q13283,Ras GTPase-activating protein-binding protein 1 OS=Homo sapiens GN=G3BP1 PE=1 SV=1,1.5246,1.6469,2.3277,2.0233,1.9207,1.8497
PCBP1_HUMAN_Q15365,Poly(rC)-binding protein 1 OS=Homo sapiens GN=PCBP1 PE=1 SV=2,3.7523,3.6234,3.4968,3.0126,2.9751,2.6707
TPD52_HUMAN_P55327,Tumor protein D52 OS=Homo sapiens GN=TPD52 PE=1 SV=2,0.2866,0.3235,0.179,0.4257,0.4348,0.3715
SK2L2_HUMAN_P42285,Superkiller viralicidic activity 2-like 2 OS=Homo sapiens GN=SKIV2L2 PE=1 SV=3,1.0978,0.9585,1.2173,0.9655,0.9822,1.0887
SMC2_HUMAN_O95347,Structural maintenance of chromosomes protein 2 OS=Homo sapiens GN=SMC2 PE=1 SV=2,2.5613,1.6965,2.002,1.5601,1.3723,1.9622
GSLG1_HUMAN_Q92896,Golgi apparatus protein 1 OS=Homo sapiens GN=GLG1 PE=1 SV=2,2.0913,1.7384,2.1397,1.1673,1.2085,1.245
TXLNA_HUMAN_P40222,Alpha-taxilin OS=Homo sapiens GN=TXLNA PE=1 SV=3,0.5983,0.5621,0.6766,0.446,0.4233,0.7052
NU214_HUMAN_P35658,Nuclear pore complex protein Nup214 OS=Homo sapiens GN=NUP214 PE=1 SV=2,0.7936,0.5771,0.7703,0.5618,0.7734,0.6804
KRT84_HUMAN_Q9NSB2,Keratin_ type II cuticular Hb4 OS=Homo sapiens GN=KRT84 PE=2 SV=2,0.0532,0.0313,0.699,0.066,1.012,0.0104
KS6A3_HUMAN_P51812,Ribosomal protein S6 kinase alpha-3 OS=Homo sapiens GN=RPS6KA3 PE=1 SV=1,0.3858,0.6238,2.131,1.7038,0.502,0.3874
RDH11_HUMAN_Q8TC12,Retinol dehydrogenase 11 OS=Homo sapiens GN=RDH11 PE=1 SV=2,0.2838,0.3107,0.4136,0.2971,0.3049,0.2436
SP16H_HUMAN_Q9Y5B9,FACT complex subunit SPT16 OS=Homo sapiens GN=SUPT16H PE=1 SV=1,2.1086,1.6687,1.7404,1.4277,1.5394,1.4299
TPP2_HUMAN_P29144,Tripeptidyl-peptidase 2 OS=Homo sapiens GN=TPP2 PE=1 SV=4,0.507,0.4273,0.5997,0.3061,0.3465,0.2485
DNJA2_HUMAN_O60884,DnaJ homolog subfamily A member 2 OS=Homo sapiens GN=DNAJA2 PE=1 SV=1,1.1955,0.8384,1.0004,0.6346,0.8068,0.5212
TPIS_HUMAN_P60174,Triosephosphate isomerase OS=Homo sapiens GN=TPI1 PE=1 SV=3,4.6682,3.8471,4.7384,3.1111,3.1869,2.7822
SYSC_HUMAN_P49591,Serine--tRNA ligase_ cytoplasmic OS=Homo sapiens GN=SARS PE=1 SV=3,0.602,0.6106,0.5424,1.1154,1.3753,0.8013
CDK1_HUMAN_P06493,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3,0.6927,0.6292,0.7821,0.7519,0.6507,0.6548
NDUS3_HUMAN_O75489,NADH dehydrogenase [ubiquinone] iron-sulfur protein 3_ mitochondrial OS=Homo sapiens GN=NDUFS3 PE=1 SV=1,0.3209,0.4446,0.0843,0.2534,0.2807,0.1278
ACTBL_HUMAN_Q562R1,Beta-actin-like protein 2 OS=Homo sapiens GN=ACTBL2 PE=1 SV=2,6.2962,6.874,7.5454,3.0759,2.8811,2.1764
ICAM1_HUMAN_P05362,Intercellular adhesion molecule 1 OS=Homo sapiens GN=ICAM1 PE=1 SV=2,1.6469,1.2311,1.5065,0.9943,0.9251,1.033
RS27_HUMAN_P42677,40S ribosomal protein S27 OS=Homo sapiens GN=RPS27 PE=1 SV=3,0.4728,0.3835,0.1465,0.1998,0.3389,0.1567
PA2G4_HUMAN_Q9UQ80,Proliferation-associated protein 2G4 OS=Homo sapiens GN=PA2G4 PE=1 SV=3,2.3785,2.0025,2.0429,1.7799,1.7669,1.6819
YBOX1_HUMAN_P67809,Nuclease-sensitive element-binding protein 1 OS=Homo sapiens GN=YBX1 PE=1 SV=3,4.0301,3.5228,3.7293,3.0884,2.9272,2.6238
NENF_HUMAN_Q9UMX5,Neudesin OS=Homo sapiens GN=NENF PE=1 SV=1,0.0436,0.0888,0.0603,0.1261,0.1254,0.12
SERA_HUMAN_O43175,D-3-phosphoglycerate dehydrogenase OS=Homo sapiens GN=PHGDH PE=1 SV=4,2.974,2.5793,2.8431,2.1756,2.108,2.1176
GNL3_HUMAN_Q9BVP2,Guanine nucleotide-binding protein-like 3 OS=Homo sapiens GN=GNL3 PE=1 SV=2,0.4581,0.3001,1.0458,0.3474,0.3485,0.4413
G6PD_HUMAN_P11413,Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens GN=G6PD PE=1 SV=4,1.2504,1.5623,1.7255,1.2798,1.3341,1.1412
S23IP_HUMAN_Q9Y6Y8,SEC23-interacting protein OS=Homo sapiens GN=SEC23IP PE=1 SV=1,0.4341,0.445,0.8666,0.4859,0.555,0.4894
RRP12_HUMAN_Q5JTH9,RRP12-like protein OS=Homo sapiens GN=RRP12 PE=1 SV=2,1.0129,0.6937,1.0975,1.1507,2.0348,1.2899
DDX46_HUMAN_Q7L014,Probable ATP-dependent RNA helicase DDX46 OS=Homo sapiens GN=DDX46 PE=1 SV=2,0.9625,1.4451,1.2522,0.8081,0.8726,1.0151
GSK3B_HUMAN_P49841,Glycogen synthase kinase-3 beta OS=Homo sapiens GN=GSK3B PE=1 SV=2,0.2194,1.0837,1.1036,0.7845,0.2809,0.6772
A0A087WXM6_HUMAN_A0A087WXM6,60S ribosomal protein L17 (Fragment) OS=Homo sapiens GN=RPL17 PE=3 SV=1,1.3113,1.1585,1.1555,1.1201,1.0037,0.996
TOM34_HUMAN_Q15785,Mitochondrial import receptor subunit TOM34 OS=Homo sapiens GN=TOMM34 PE=1 SV=2,0.6288,0.7762,0.7243,0.6708,0.6721,0.8205
VPS29_HUMAN_Q9UBQ0,Vacuolar protein sorting-associated protein 29 OS=Homo sapiens GN=VPS29 PE=1 SV=1,0.2231,0.1685,0.2487,0.1922,0.2085,0.1737
GANAB_HUMAN_Q14697,Neutral alpha-glucosidase AB OS=Homo sapiens GN=GANAB PE=1 SV=3,3.2002,3.8645,2.8574,3.3355,3.1036,2.584
GIPC1_HUMAN_O14908,PDZ domain-containing protein GIPC1 OS=Homo sapiens GN=GIPC1 PE=1 SV=2,0.3045,0.2324,0.162,0.2022,0.2762,0.1419
NOP2_HUMAN_P46087,Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase OS=Homo sapiens GN=NOP2 PE=1 SV=2,1.0491,1.3407,1.0653,1.0297,1.0079,0.8503
EIF3B_HUMAN_P55884,Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens GN=EIF3B PE=1 SV=3,0.7504,0.8199,1.1007,0.9454,0.9648,0.5939
RRP1B_HUMAN_Q14684,Ribosomal RNA processing protein 1 homolog B OS=Homo sapiens GN=RRP1B PE=1 SV=3,0.3212,0.2699,0.3397,0.6476,0.2567,0.249
RAB1B_HUMAN_Q9H0U4,Ras-related protein Rab-1B OS=Homo sapiens GN=RAB1B PE=1 SV=1,0.7168,0.6707,0.4271,0.8112,0.7497,0.6965
PSD13_HUMAN_Q9UNM6,26S proteasome non-ATPase regulatory subunit 13 OS=Homo sapiens GN=PSMD13 PE=1 SV=2,0.9494,1.1037,0.9476,0.749,0.7647,0.6636
COX5B_HUMAN_P10606,Cytochrome c oxidase subunit 5B_ mitochondrial OS=Homo sapiens GN=COX5B PE=1 SV=2,0.2241,0.264,0.2641,0.1816,0.1866,0.209
MUTA_HUMAN_P22033,Methylmalonyl-CoA mutase_ mitochondrial OS=Homo sapiens GN=MUT PE=1 SV=4,0.5595,0.6011,0.6164,1.1923,0.4098,0.3924
ACTN2_HUMAN_P35609,Alpha-actinin-2 OS=Homo sapiens GN=ACTN2 PE=1 SV=1,0.4497,2.0786,1.2546,3.3107,0.4933,3.0597
SYAC_HUMAN_P49588,Alanine--tRNA ligase_ cytoplasmic OS=Homo sapiens GN=AARS PE=1 SV=2,3.7841,3.3737,4.2368,2.8491,2.8984,2.6927
ROCK1_HUMAN_Q13464,Rho-associated protein kinase 1 OS=Homo sapiens GN=ROCK1 PE=1 SV=1,0.1291,0.183,0.2658,0.2113,0.1635,1.0208
ZC3HF_HUMAN_Q8WU90,Zinc finger CCCH domain-containing protein 15 OS=Homo sapiens GN=ZC3H15 PE=1 SV=1,0.2379,0.2449,0.251,0.2305,0.3105,0.1898
CPNE3_HUMAN_O75131,Copine-3 OS=Homo sapiens GN=CPNE3 PE=1 SV=1,0.8053,0.7884,0.6896,0.4952,0.4607,0.6342
FUBP2_HUMAN_Q92945,Far upstream element-binding protein 2 OS=Homo sapiens GN=KHSRP PE=1 SV=4,3.7155,3.0927,4.272,2.6541,2.4997,2.3837
SPF45_HUMAN_Q96I25,Splicing factor 45 OS=Homo sapiens GN=RBM17 PE=1 SV=1,0.1535,0.2354,0.3676,0.1898,0.2391,0.235
RAGP1_HUMAN_P46060,Ran GTPase-activating protein 1 OS=Homo sapiens GN=RANGAP1 PE=1 SV=1,1.4851,1.3167,1.3892,0.9935,0.9373,0.9286
SPB6_HUMAN_P35237,Serpin B6 OS=Homo sapiens GN=SERPINB6 PE=1 SV=3,1.0694,1.1589,0.7708,1.0182,0.9213,0.8442
NSF1C_HUMAN_Q9UNZ2,NSFL1 cofactor p47 OS=Homo sapiens GN=NSFL1C PE=1 SV=2,1.0001,0.9842,1.1788,0.8636,0.8308,0.8139
LAT1_HUMAN_Q01650,Large neutral amino acids transporter small subunit 1 OS=Homo sapiens GN=SLC7A5 PE=1 SV=2,1.132,0.9175,1.1723,0.697,0.726,0.7141
PRP4_HUMAN_O43172,U4/U6 small nuclear ribonucleoprotein Prp4 OS=Homo sapiens GN=PRPF4 PE=1 SV=2,0.2388,0.2066,0.2358,0.2424,0.1755,0.2941
UBQL2_HUMAN_Q9UHD9,Ubiquilin-2 OS=Homo sapiens GN=UBQLN2 PE=1 SV=2,0.3727,0.2923,0.3647,0.3204,0.3082,0.2279
A0A087WYB4_HUMAN_A0A087WYB4,Stomatin-like protein 2_ mitochondrial OS=Homo sapiens GN=STOML2 PE=1 SV=1,0.5494,0.5345,0.3874,0.5936,0.6443,0.5487
OTUB1_HUMAN_Q96FW1,Ubiquitin thioesterase OTUB1 OS=Homo sapiens GN=OTUB1 PE=1 SV=2,0.4124,0.4088,0.4318,0.3449,0.3156,0.3464
FHL2_HUMAN_Q14192,Four and a half LIM domains protein 2 OS=Homo sapiens GN=FHL2 PE=1 SV=3,0.2623,0.2314,0.2558,0.2571,0.2305,0.1965
CAP1_HUMAN_Q01518,Adenylyl cyclase-associated protein 1 OS=Homo sapiens GN=CAP1 PE=1 SV=5,5.2635,4.3317,4.599,4.7407,4.9927,4.873
CSDE1_HUMAN_O75534,Cold shock domain-containing protein E1 OS=Homo sapiens GN=CSDE1 PE=1 SV=2,1.1004,0.8967,0.9153,1.0477,1.1233,0.7255
RHOA_HUMAN_P61586,Transforming protein RhoA OS=Homo sapiens GN=RHOA PE=1 SV=1,0.5884,0.4812,0.3299,0.4653,0.3969,0.3745
ACPH_HUMAN_P13798,Acylamino-acid-releasing enzyme OS=Homo sapiens GN=APEH PE=1 SV=4,1.0894,0.8698,1.0205,0.6209,0.6351,0.7719
CDC42_HUMAN_P60953,Cell division control protein 42 homolog OS=Homo sapiens GN=CDC42 PE=1 SV=2,0.7957,0.5819,0.5925,0.4588,0.4502,0.4175
IF4A3_HUMAN_P38919,Eukaryotic initiation factor 4A-III OS=Homo sapiens GN=EIF4A3 PE=1 SV=4,0.6125,0.513,0.5979,1.0806,1.0117,1.0921
RUXF_HUMAN_P62306,Small nuclear ribonucleoprotein F OS=Homo sapiens GN=SNRPF PE=1 SV=1,0.2366,0.1436,0.257,0.1266,0.1166,0.1179
DRG1_HUMAN_Q9Y295,Developmentally-regulated GTP-binding protein 1 OS=Homo sapiens GN=DRG1 PE=1 SV=1,0.5872,0.2753,0.2203,0.4112,0.3386,0.4425
RBM14_HUMAN_Q96PK6,RNA-binding protein 14 OS=Homo sapiens GN=RBM14 PE=1 SV=2,0.7545,0.5227,0.9439,0.3421,0.5955,0.8507
GTF2I_HUMAN_P78347,General transcription factor II-I OS=Homo sapiens GN=GTF2I PE=1 SV=2,0.6895,0.4859,0.6606,0.465,0.3551,0.8742
H2A1H_HUMAN_Q96KK5,Histone H2A type 1-H OS=Homo sapiens GN=HIST1H2AH PE=1 SV=3,1.6597,1.8423,0.0959,1.7841,2.5605,0.413
CKAP4_HUMAN_Q07065,Cytoskeleton-associated protein 4 OS=Homo sapiens GN=CKAP4 PE=1 SV=2,2.8637,3.0493,2.7381,2.7101,2.7072,2.9121
PODXL_HUMAN_O00592,Podocalyxin OS=Homo sapiens GN=PODXL PE=1 SV=2,0.7511,0.6393,0.8788,0.6674,0.6624,0.771
RL36L_HUMAN_Q969Q0,60S ribosomal protein L36a-like OS=Homo sapiens GN=RPL36AL PE=1 SV=3,0.2942,0.2179,0.388,0.1653,0.2201,0.1994
CALR_HUMAN_P27797,Calreticulin OS=Homo sapiens GN=CALR PE=1 SV=1,3.6906,3.5799,3.2438,2.7429,2.4635,1.9526
VDAC1_HUMAN_P21796,Voltage-dependent anion-selective channel protein 1 OS=Homo sapiens GN=VDAC1 PE=1 SV=2,2.0309,1.9924,1.9736,1.6395,1.7155,1.6265
AP1B1_HUMAN_Q10567,AP-1 complex subunit beta-1 OS=Homo sapiens GN=AP1B1 PE=1 SV=2,1.7258,1.9456,1.7761,1.3918,1.4124,1.3722
SC22B_HUMAN_O75396,Vesicle-trafficking protein SEC22b OS=Homo sapiens GN=SEC22B PE=1 SV=4,0.9705,0.8235,0.7835,0.6713,0.6119,0.5552
COPE_HUMAN_O14579,Coatomer subunit epsilon OS=Homo sapiens GN=COPE PE=1 SV=3,0.6455,0.5854,0.7885,0.5964,0.5233,0.5583
OSBP1_HUMAN_P22059,Oxysterol-binding protein 1 OS=Homo sapiens GN=OSBP PE=1 SV=1,0.5692,0.4406,0.7226,0.5181,0.4609,0.5252
RL13A_HUMAN_P40429,60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2,0.2401,1.0273,0.8894,1.0777,0.9151,0.949
H0Y6I0_HUMAN_H0Y6I0,Golgin subfamily A member 4 (Fragment) OS=Homo sapiens GN=GOLGA4 PE=1 SV=1,1.6409,0.9741,0.851,0.4755,1.3782,1.2396
HS71B_HUMAN_P0DMV9,Heat shock 70 kDa protein 1B OS=Homo sapiens GN=HSPA1B PE=1 SV=1,10.6811,9.2388,9.8304,9.1138,9.1291,8.2852
HS90A_HUMAN_P07900,Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1 PE=1 SV=5,14.6799,13.0993,12.6533,12.2813,10.6656,10.755
